,rank,club,points,year_change,sb_closest_match
0,1,Manchester City,2088,12035,Manchester City
4,5,Liverpool FC,1912,11969,Liverpool
6,7,Arsenal,1884,71844,Arsenal
16,17,Newcastle United,1799,321706,Newcastle United
17,18,Manchester United,1798,101752,Manchester United
20,21,Tottenham Hotspur,1779,91855,Tottenham Hotspur
24,25,Aston Villa,1776,691620,Aston Villa
35,36,West Ham United,1733,451642,West Ham United
61,62,Crystal Palace,1678,41686,Crystal Palace
87,88,Chelsea FC,1643,701807,Chelsea
129,130,Leicester City,1598,341618,Leicester City
206,207,Everton FC,1547,901603,Everton
250,251,AFC Bournemouth,1527,541547,AFC Bournemouth
251,252,Stoke City,1526,91526,Stoke City
269,270,Swansea City,1515,101515,Swansea City
379,380,Liverpool,1472,121473,Liverpool
416,417,Southampton,1461,2321553,Southampton
